player_name,country,season,team,innings,not_outs,runs_scored,balls_faced,batting_average,batting_strike_rate,highest_score,hundreds,fifties,fours,sixes
A Ashish Reddy,,2012,Sunrisers Hyderabad,5,1,35,29,8.75,120.7,10,0,0,3,1
A Ashish Reddy,,2013,Sunrisers Hyderabad,10,3,125,89,17.86,140.4,36,0,0,8,5
A Ashish Reddy,,2015,Sunrisers Hyderabad,5,2,73,46,24.33,158.7,22,0,0,3,5
A Ashish Reddy,,2016,Sunrisers Hyderabad,3,1,47,29,23.5,162.1,32,0,0,2,4
A Chandila,,2012,Rajasthan Royals,1,0,0,1,0.0,0.0,0,0,0,0,0
A Chandila,,2013,Rajasthan Royals,1,1,4,6,4.0,66.7,4,0,0,0,0
A Kamboj,,2024,Mumbai Indians,1,1,2,2,2.0,100.0,2,0,0,0,0
A Kamboj,,2025,Chennai Super Kings,5,3,14,12,7.0,116.7,5,0,0,2,0
A Mhatre,,2025,Chennai Super Kings,7,0,240,127,34.29,189.0,94,0,1,31,11
A R Bawane,,2017,Delhi Capitals,1,1,12,12,12.0,100.0,12,0,0,1,0
A Raghuvanshi,,2024,Kolkata Knight Riders,7,0,163,105,23.29,155.2,54,0,1,16,8
A Raghuvanshi,,2025,Kolkata Knight Riders,11,2,300,215,33.33,139.5,50,0,1,30,8
A Singh,,2009,Rajasthan Royals,2,1,1,3,1.0,33.3,1,0,0,0,0
A Singh,,2011,Rajasthan Royals,2,0,1,4,0.5,25.0,1,0,0,0,0
A Singh,,2012,Rajasthan Royals,1,0,0,3,0.0,0.0,0,0,0,0,0
A T Rayudu,,2010,Mumbai Indians,14,1,356,246,27.38,144.7,55,0,2,34,13
A T Rayudu,,2011,Mumbai Indians,16,2,395,350,28.21,112.9,63,0,4,44,9
A T Rayudu,,2012,Mumbai Indians,15,6,333,252,37.0,132.1,81,0,2,21,14
A T Rayudu,,2013,Mumbai Indians,15,3,265,231,22.08,114.7,37,0,0,22,4
A T Rayudu,,2014,Mumbai Indians,14,0,361,287,25.79,125.8,68,0,2,31,8
A T Rayudu,,2015,Mumbai Indians,14,5,281,193,31.22,145.6,53,0,1,18,16
A T Rayudu,,2016,Mumbai Indians,12,1,334,278,30.36,120.1,65,0,2,28,12
A T Rayudu,,2017,Mumbai Indians,5,0,91,78,18.2,116.7,63,0,1,7,3
A T Rayudu,,2018,Chennai Super Kings,16,1,602,402,40.13,149.8,100,1,3,53,34
A T Rayudu,,2019,Chennai Super Kings,17,5,282,303,23.5,93.1,57,0,1,20,7
A T Rayudu,,2020,Chennai Super Kings,11,2,359,282,39.89,127.3,71,0,1,30,12
A T Rayudu,,2021,Chennai Super Kings,13,4,257,170,28.56,151.2,72,0,2,16,17
A T Rayudu,,2022,Chennai Super Kings,11,0,274,224,24.91,122.3,78,0,1,25,15
A T Rayudu,,2023,Chennai Super Kings,12,2,158,113,15.8,139.8,27,0,0,10,9
A Uniyal,,2010,Rajasthan Royals,2,1,4,7,4.0,57.1,4,0,0,0,0
A V Choudhary,,2017,Royal Challengers Bengaluru,3,0,25,20,8.33,125.0,15,0,0,1,1
AA Bilakhia,,2009,Sunrisers Hyderabad,6,2,67,81,16.75,82.7,22,0,0,5,0
AA Bilakhia,,2010,Sunrisers Hyderabad,1,0,2,4,2.0,50.0,2,0,0,0,0
AA Chavan,,2011,Rajasthan Royals,1,0,1,3,1.0,33.3,1,0,0,0,0
AA Chavan,,2012,Rajasthan Royals,2,1,11,8,11.0,137.5,7,0,0,2,0
AA Jhunjhunwala,,2010,Rajasthan Royals,10,0,183,166,18.3,110.2,53,0,1,16,4
AA Jhunjhunwala,,2011,Pune Warriors,2,0,10,18,5.0,55.6,10,0,0,2,0
AA Jhunjhunwala,,2012,Sunrisers Hyderabad,3,1,24,26,12.0,92.3,19,0,0,1,1
AA Kulkarni,,2024,Lucknow Super Giants,2,0,9,8,4.5,112.5,9,0,0,2,0
AA Noffke,,2008,Royal Challengers Bengaluru,1,0,9,10,9.0,90.0,9,0,0,1,0
AB de Villiers,,2008,Delhi Capitals,6,1,95,98,19.0,96.9,26,0,0,5,1
AB de Villiers,,2009,Delhi Capitals,13,4,465,355,51.67,131.0,105,1,3,39,12
AB de Villiers,,2010,Delhi Capitals,7,0,111,119,15.86,93.3,45,0,0,7,0
AB de Villiers,,2011,Royal Challengers Bengaluru,13,3,312,243,31.2,128.4,65,0,2,21,14
AB de Villiers,,2012,Royal Challengers Bengaluru,13,4,319,198,35.44,161.1,64,0,3,26,15
AB de Villiers,,2013,Royal Challengers Bengaluru,14,3,360,219,32.73,164.4,64,0,2,34,15
AB de Villiers,,2014,Royal Challengers Bengaluru,13,1,395,249,32.92,158.6,89,0,3,26,24
AB de Villiers,,2015,Royal Challengers Bengaluru,14,3,513,293,46.64,175.1,133,1,2,60,22
AB de Villiers,,2016,Royal Challengers Bengaluru,16,3,687,407,52.85,168.8,129,1,6,57,37
AB de Villiers,,2017,Royal Challengers Bengaluru,9,1,216,163,27.0,132.5,89,0,1,12,16
AB de Villiers,,2018,Royal Challengers Bengaluru,11,2,480,275,53.33,174.5,90,0,6,39,30
AB de Villiers,,2019,Royal Challengers Bengaluru,13,3,442,287,44.2,154.0,82,0,5,31,26
AB de Villiers,,2020,Royal Challengers Bengaluru,14,4,454,286,45.4,158.7,73,0,5,33,23
AB de Villiers,,2021,Royal Challengers Bengaluru,14,4,313,211,31.3,148.3,76,0,2,23,16
AC Blizzard,,2011,Mumbai Indians,6,0,120,87,20.0,137.9,51,0,1,21,2
AC Blizzard,,2012,Mumbai Indians,1,0,0,3,0.0,0.0,0,0,0,0,0
AC Thomas,,2011,Pune Warriors,2,2,1,4,1.0,25.0,1,0,0,0,0
AC Thomas,,2012,Pune Warriors,2,0,19,15,9.5,126.7,12,0,0,1,1
AD Mascarenhas,,2008,Rajasthan Royals,1,0,9,8,9.0,112.5,9,0,0,0,1
